StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,DwellTime,FirstFixationDuration,FirstPassDwellTime,FirstPassLandingPosition,SkipRate,SurprisalLeadingDynamic7,SurprisalLeadingDynamic8,SurprisalLeadingFixed,SurprisalLeadingWhole,SurprisalLeadingSpanning3,SurprisalLeadingSpanning4,SurprisalLeadingSpanning5,SurprisalLeadingSpanning6,SurprisalLeadingSpanning7,SurprisalLeadingSpanningWhole,SurprisalTrailingDynamic7,SurprisalTrailingDynamic8,SurprisalTrailingFixed,SurprisalTrailingWhole,SurprisalTrailingSpanning3,SurprisalTrailingSpanning4,SurprisalTrailingSpanning5,SurprisalTrailingSpanning6,SurprisalTrailingSpanning7,SurprisalTrailingSpanningWhole,SurprisalLeadingAndTrailingDynamic7,SurprisalLeadingAndTrailingDynamic8,SurprisalLeadingAndTrailingFixed,SurprisalLeadingAndTrailingWhole,SurprisalLeadingAndTrailingSpanning3,SurprisalLeadingAndTrailingSpanning4,SurprisalLeadingAndTrailingSpanning5,SurprisalLeadingAndTrailingSpanning6,SurprisalLeadingAndTrailingSpanning7,SurprisalLeadingAndTrailingSpanningWhole,SurprisalNoWhitespaceDynamic7,SurprisalNoWhitespaceDynamic8,SurprisalNoWhitespaceFixed,SurprisalNoWhitespaceWhole,SurprisalNoWhitespaceSpanning3,SurprisalNoWhitespaceSpanning4,SurprisalNoWhitespaceSpanning5,SurprisalNoWhitespaceSpanning6,SurprisalNoWhitespaceSpanning7,SurprisalNoWhitespaceSpanningWhole,RegionLengthPrev,RegionLengthPrevPrev,SubtlexLogFreqPrev,SubtlexLogFreqPrevPrev,WordFreqZipfPrev,WordFreqZipfPrevPrev,SurprisalLeadingPrev,SurprisalLeadingPrevPrev,SurprisalTrailingPrev,SurprisalTrailingPrevPrev,SurprisalLeadingAndTrailingPrev,SurprisalLeadingAndTrailingPrevPrev,SurprisalNoWhitespacePrev,SurprisalNoWhitespacePrevPrev
1,0,CNN,cnn,3.0,,1.91e-05,-10.86582222291169,4.28,False,288.8125,193.46875,239.1875,0.319375,0.0,8.930352473414084,8.930352473414084,8.930352473414084,8.930352473414084,13.221779125014352,15.68514601610431,15.689374160871854,16.171214420768425,16.17394483790667,16.171214420768425,9.361813321630011,9.361813321630011,8.930352473414084,9.361813321630011,15.68514601610431,15.689374160871854,16.171214420768425,16.17394483790667,16.559918504896903,16.17394483790667,9.361813321630011,9.361813321630011,8.930352473414084,9.361813321630011,13.221779125014352,15.68514601610431,15.689374160871854,16.171214420768425,16.17394483790667,16.17394483790667,8.930352473414084,8.930352473414084,8.930352473414084,8.930352473414084,15.68514601610431,15.689374160871854,16.171214420768425,16.17394483790667,16.559918504896903,16.171214420768425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,wants,wants,5.0,4.19468081264994,0.000174,-8.656455258749745,5.24,False,512.375,222.5,298.6666666666667,0.7926666666666667,0.21875,7.240861947354343,7.240861947354343,4.291426651600268,7.240861947354343,7.697751392762587,7.6992123632943645,10.329562205958652,11.603821954835066,11.681819273218405,7.697751392762587,6.809401099138416,6.812131516276661,6.323332694474299,6.812131516276661,7.267751515078437,9.898101357742725,11.172361106619139,11.250358425002478,11.470080599670375,7.267751515078437,6.7590216874577695,7.240861947354343,4.291426651600268,7.243592364492589,7.697751392762587,7.6992123632943645,10.329562205958652,11.603821954835066,11.681819273218405,7.6992123632943645,6.809401099138416,6.809401099138416,6.323332694474299,6.809401099138416,7.267751515078437,9.898101357742725,11.172361106619139,11.250358425002478,11.470080599670375,7.26629054454666,3.0,0.0,,0.0,4.28,0.0,8.930352473414084,0.0,9.361813321630011,0.0,9.361813321630011,0.0,8.930352473414084,0.0
1,2,to,to,2.0,6.06317229855216,0.0269,-3.615628992374344,7.43,False,138.21875,193.625,206.4375,0.35875,0.78125,0.45688944540824394,0.45688944540824394,0.45688944540824394,0.45688944540824394,4.362960007480723,4.440957325864062,4.660679500531959,4.673395005269583,4.673446665058506,4.673446665058506,0.45561999880177595,0.45561999880177595,0.45561999880177595,0.45561999880177595,4.438226908725817,4.657949083393714,4.670664588131338,4.670716247920261,4.677677399703509,4.677677399703509,0.45835041594002135,0.45835041594002135,0.45688944540824394,0.45835041594002135,4.362960007480723,4.440957325864062,4.660679500531959,4.673395005269583,4.673446665058506,4.680407816841754,0.45415902826999854,0.45415902826999854,0.45561999880177595,0.45415902826999854,4.438226908725817,4.657949083393714,4.670664588131338,4.670716247920261,4.677677399703509,4.670716247920261,5.0,3.0,4.19468081264994,,5.24,4.28,7.240861947354343,8.930352473414084,6.812131516276661,9.361813321630011,7.243592364492589,9.361813321630011,6.809401099138416,8.930352473414084
1,3,change,change,6.0,4.08845504504417,0.000347,-7.966185778017415,5.54,False,381.78125,208.2258064516129,251.48387096774192,0.9670967741935484,0.0625,4.216505559861339,4.216557219650262,3.906070562072479,4.216557219650262,6.499688492077002,6.570369732015191,6.57749334618892,10.802551947391922,11.246092055404986,6.570369732015191,4.215096249118485,4.222057400901733,3.9826069099240407,4.222057400901733,6.568908761483414,6.576032375657142,10.801090976860145,11.244631084873209,12.124034407380023,6.576032375657142,4.203790055123715,4.216505559861339,3.906070562072479,4.22351837143351,6.499688492077002,6.570369732015191,6.57749334618892,10.802551947391922,11.246092055404986,6.57749334618892,4.215096249118485,4.215096249118485,3.9826069099240407,4.215096249118485,6.568908761483414,6.576032375657142,10.801090976860145,11.244631084873209,12.124034407380023,6.568908761483414,2.0,5.0,6.06317229855216,4.19468081264994,7.43,5.24,0.45688944540824394,7.240861947354343,0.45561999880177595,6.812131516276661,0.45835041594002135,7.243592364492589,0.45415902826999854,6.809401099138416
1,4,its,its,3.0,3.94240494085611,0.00138,-6.5856717798130235,6.14,False,148.53125,204.76470588235293,226.1176470588235,0.4829411764705882,0.625,2.3538125123649287,2.3538125123649287,2.28313127242674,2.3538125123649287,7.029534835754724,7.908938158261538,7.9089407930328655,9.50946534053719,9.509693585723593,10.686597357126367,2.3539749747554097,2.3539749747554097,2.346851360581681,2.3539749747554097,7.90197700647829,7.901979641249618,9.502504188753942,9.502732433940345,9.596774459158986,10.681983397552255,2.28313127242674,2.3538125123649287,2.28313127242674,2.3609361265386575,7.029534835754724,7.908938158261538,7.9089407930328655,9.50946534053719,9.509693585723593,10.688944549335503,2.346851360581681,2.346851360581681,2.346851360581681,2.346851360581681,7.90197700647829,7.901979641249618,9.502504188753942,9.502732433940345,9.596774459158986,10.679636205343119,6.0,2.0,4.08845504504417,6.06317229855216,5.54,7.43,4.216557219650262,0.45688944540824394,4.222057400901733,0.45561999880177595,4.22351837143351,0.45835041594002135,4.215096249118485,0.45415902826999854
1,5,viewers',viewers',8.0,2.15836249209525,1.66e-05,-11.006107862601777,4.22,True,637.0,224.5806451612903,382.4193548387097,0.8829032258064516,0.03125,5.555128280667937,7.155652828172261,4.675722323389795,8.332784844761438,11.62526450327016,11.659010856178682,11.659026151793277,11.659032681282895,11.686320535627353,13.646700017125788,7.148529213998533,7.148757459184935,5.548002031722881,8.328008422796845,11.651887242004953,11.651902537619549,11.651909067109166,11.679196921453624,13.63957640295206,13.63957640295206,5.555128280667937,7.155652828172261,4.675722323389795,8.335132036970574,11.62526450327016,11.659010856178682,11.659026151793277,11.659032681282895,11.686320535627353,13.646700017125788,7.148757459184935,7.242799484403577,5.548002031722881,8.32566123058771,11.651887242004953,11.651902537619549,11.651909067109166,11.679196921453624,13.63957640295206,13.63957640295206,3.0,6.0,3.94240494085611,4.08845504504417,6.14,5.54,2.3538125123649287,4.216557219650262,2.3539749747554097,4.222057400901733,2.3609361265386575,4.22351837143351,2.346851360581681,4.215096249118485
1,6,habits.,habits,6.0,2.49554433754645,1.62e-05,-11.030499315725937,4.21,True,416.0625,303.2608695652174,431.2608695652174,0.591304347826087,0.28125,3.2924796585087215,3.326226011417244,3.2924796585087215,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,3.323878819208108,3.3238941148227035,3.323878819208108,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,3.008538488392336,3.2924796585087215,3.2924796585087215,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,5.31391517236435,3.323878819208108,3.3238941148227035,3.323878819208108,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,5.311567980155214,8.0,3.0,2.15836249209525,3.94240494085611,4.22,6.14,8.332784844761438,2.3538125123649287,8.328008422796845,2.3539749747554097,8.335132036970574,2.3609361265386575,8.32566123058771,2.346851360581681
2,0,Until,until,5.0,4.18828147952267,0.000407,-7.806697372521679,5.61,False,273.5625,197.74193548387095,223.2258064516129,0.2638709677419354,0.03125,8.885002127863245,8.885002127863245,8.52795095440485,8.885002127863245,10.718472028638388,10.722494131288947,11.108165042969922,11.110760551561974,15.345266354115083,11.108165042969922,8.89293520815027,8.89293520815027,8.52795095440485,8.89293520815027,10.722494131288947,11.108165042969922,11.110760551561974,15.345266354115083,19.094860093884336,11.110760551561974,8.89293520815027,8.89293520815027,8.52795095440485,8.89293520815027,10.718472028638388,10.722494131288947,11.108165042969922,11.110760551561974,15.345266354115083,11.110760551561974,8.885002127863245,8.885002127863245,8.52795095440485,8.885002127863245,10.722494131288947,11.108165042969922,11.110760551561974,15.345266354115083,19.094860093884336,11.108165042969922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,"now,",now,3.0,5.21307659793577,0.00151,-6.495645628155304,6.18,True,228.71875,190.58333333333337,233.95833333333337,0.8545833333333334,0.46875,2.223162915106677,2.223162915106677,1.8334699007751407,2.223162915106677,10.20985796602109,10.381233394280656,10.57344680714332,11.060993511523957,11.064559619080352,10.381233394280656,2.2152298348196524,2.217825343411704,1.829558923138677,2.217825343411704,10.373300313993632,10.565513726856295,11.053060431236933,11.056626538793328,11.26533756734619,10.565513726856295,1.8374920034257016,2.223162915106677,1.8334699007751407,2.2257584236987284,10.20985796602109,10.381233394280656,10.57344680714332,11.060993511523957,11.064559619080352,10.57344680714332,2.2152298348196524,2.2152298348196524,1.829558923138677,2.2152298348196524,10.373300313993632,10.565513726856295,11.053060431236933,11.056626538793328,11.26533756734619,10.373300313993632,5.0,0.0,4.18828147952267,0.0,5.61,0.0,8.885002127863245,0.0,8.89293520815027,0.0,8.89293520815027,0.0,8.885002127863245,0.0
2,2,CNN,cnn,3.0,,1.91e-05,-10.86582222291169,4.28,False,183.78125,185.8571428571429,206.6190476190476,0.7757142857142857,0.375,8.158070479173979,8.158070479173979,7.986695050914413,8.158070479173979,8.841396703973675,9.050107732526538,9.078692147180256,11.961607187649633,15.156728757761698,9.050107732526538,8.347688383444591,8.347688383444591,8.155474970581928,8.347688383444591,9.047512223934486,9.076096638588204,11.959011679057582,15.154133249169647,15.47186525768851,9.076096638588204,8.158070479173979,8.350283892036643,7.986695050914413,8.350283892036643,8.841396703973675,9.050107732526538,9.078692147180256,11.961607187649633,15.156728757761698,9.078692147180256,8.155474970581928,8.155474970581928,8.155474970581928,8.155474970581928,9.047512223934486,9.076096638588204,11.959011679057582,15.154133249169647,15.47186525768851,9.047512223934486,3.0,5.0,5.21307659793577,4.18828147952267,6.18,5.61,2.223162915106677,8.885002127863245,2.217825343411704,8.89293520815027,2.2257584236987284,8.89293520815027,2.2152298348196524,8.885002127863245
